"Base email template for vendor chat notification mail","Base email template for vendor chat notification mail"
"Return Policy ","Return Policy "
"Return Policy Description","Return Policy Description"
Properties,Properties
"RMA for Order Status Settings","RMA for Order Status Settings"
"Allow Customer To cancel Orders","Allow Customer To cancel Orders"
"Allow RMA for only shipped products","Allow RMA for only shipped products"
"Allow RMA for only invoiced products","Allow RMA for only invoiced products"
"Create New Request","Create New Request"
"RMA Request Id","RMA Request Id"
"Purchase Point","Purchase Point"
"Vendor Name","Vendor Name"
"Created At","Created At"
"All Store Views","All Store Views"
"Add New Status","Add New Status"
"Delete items","Delete items"
"Are you sure to delete selected items?","Are you sure to delete selected items?"
"Status Order","Status Order"
"Enable Status","Enable Status"
"Vendor Retrun Merchandise","Vendor Retrun Merchandise"
